Network,Threads,Solver,|V|,|E|,|T|,Num Nodes,Max Len,runtime,root,Bound,,,,Max,Min
india,None,Gurobi,35,80,6,unbounded,20,600.431004,5,92,,,,,
india,None,Gurobi,35,80,6,unbounded,20,4.870313168,25,34,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.4311271,2,88,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.057513,32,48,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0170491,22,85,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0432119,16,62,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0142221,33,96,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.037739,9,54,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0211689,6,47,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.06582,12,91,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.019515,28,53,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0724208,20,71,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.012758,3,52,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.030524,26,62,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0731211,23,65,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0588,8,85,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.018935,1,45,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0301762,21,45,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.05018,27,57,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.2975931,0,65,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0726519,11,78,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.017277,34,53,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0781429,15,76,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0714581,29,55,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0522001,18,79,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.025558,10,147,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.0355229,7,59,,,,,
india,None,Gurobi,35,80,6,unbounded,20,600.2165339,31,57,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,600.025805,N1,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.240427017,N15,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.19515419,N14,15,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.017394066,N3,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.02125001,N2,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.017364979,N4,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.131854057,N11,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.005836964,N7,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.107995033,N13,15,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.054944038,N9,15,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,1.257337809,N10,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.257667065,N8,16,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.056715012,N12,15,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.15083313,N16,15,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,1.205675125,N5,15,,,,,
ny,None,Gurobi,16,49,6,unbounded,20,0.022623062,N6,16,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.083185,NewOr...,154,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.035859,Cinci...,188,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.224104,Oklah...,175,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.02762,Charl...,183,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.033208,Calgary,189,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.076409,Phoenix,535,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.10173,LosAn...,1052,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.04331,Miami,212,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.07453,Boston,1084,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.037239,Memphis,92,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.090831,Toronto,318,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.052429,SanDiego,1048,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.024407,Portland,540,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.786853,Vanco...,320,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.080389,India...,131,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.174587,Winnipeg,138,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.044817,Montreal,575,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.131744,NewYork,571,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.069669,Pitts...,533,,,,,
us-ca,None,Gurobi,39,122,6,unbounded,20,1200.183079,SaltL...,281,,,,,
